,Owner,Session ID,Mouse ID,Date,Phase,Markov,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
0,celia,08032017_Baby,Baby,2017-08-03,0.0,0,1.0,1.0,1000.0,1000.0,3.0,0.0,0.0,0.0,10.0,1.0,50.0,50.0
1,celia,08042017_Baby,Baby,2017-08-04,1.0,0,0.9,0.9,1000.0,1000.0,19.0,0.0,15.0,0.0,15.0,1.0,60.0,60.0
2,celia,08072017_Baby,Baby,2017-08-07,1.0,0,0.9,0.9,1000.0,1000.0,60.0,0.0,51.0,0.0,15.0,1.0,50.0,50.0
3,celia,08082017_Baby,Baby,2017-08-08,1.0,0,0.9,0.9,1000.0,1000.0,76.0,0.0,71.0,0.0,10.0,1.0,50.0,50.0
4,celia,08092017_Baby,Baby,2017-08-09,1.0,0,0.9,0.9,1000.0,1000.0,108.0,0.0,96.0,0.0,5.0,1.0,45.0,45.0
5,celia,08102017_Baby,Baby,2017-08-10,2.0,0,0.9,0.1,50.0,50.0,122.0,0.0,41.0,0.35,5.0,1.0,50.0,50.0
6,celia,08112017_Baby,Baby,2017-08-11,2.0,0,0.1,0.9,50.0,50.0,159.0,1.0,84.0,0.52,5.0,1.0,50.0,50.0
7,celia,08142017_Baby,Baby,2017-08-14,2.0,0,0.1,0.9,50.0,50.0,230.0,2.0,128.0,0.58,5.0,1.0,45.0,45.0
8,celia,08152017_Baby,Baby,2017-08-15,2.0,0,0.1,0.9,50.0,50.0,421.0,5.0,252.0,0.62,4.0,1.0,40.0,40.0
9,celia,08162017_Baby,Baby,2017-08-16,2.0,0,0.1,0.9,50.0,50.0,208.0,2.0,145.0,0.75,3.0,1.0,45.0,45.0
10,celia,08172017_Baby,Baby,2017-08-17,2.0,0,0.1,0.9,50.0,50.0,256.0,3.0,198.0,0.84,3.0,1.0,45.0,45.0
11,celia,08182017_Baby,Baby,2017-08-18,2.0,0,0.9,0.1,50.0,50.0,383.0,5.0,296.0,0.84,2.0,1.0,45.0,45.0
12,celia,08212017_Baby,Baby,2017-08-21,2.0,0,0.9,0.1,50.0,50.0,94.0,0.0,47.0,0.5,2.0,1.0,45.0,45.0
