,Owner,Session ID,Mouse ID,Date,Phase,Markov,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
9,celia,08162017_Baby,Baby,2017-08-16,2.0,0,0.1,0.9,50.0,50.0,208.0,2.0,145.0,0.75,3.0,1.0,45.0,45.0
10,celia,08172017_Baby,Baby,2017-08-17,2.0,0,0.1,0.9,50.0,50.0,256.0,3.0,198.0,0.84,3.0,1.0,45.0,45.0
11,celia,08182017_Baby,Baby,2017-08-18,2.0,0,0.9,0.1,50.0,50.0,383.0,5.0,296.0,0.84,2.0,1.0,45.0,45.0
14,celia,08232017_Baby,Baby,2017-08-23,2.0,0,0.1,0.9,50.0,50.0,381.0,5.0,279.0,0.79,2.0,1.0,45.0,45.0
15,celia,08242017_Baby,Baby,2017-08-24,2.0,1,0.9,0.1,,,405.0,7.0,313.0,0.86,2.0,1.0,45.0,45.0
16,celia,08252017_Baby,Baby,2017-08-25,2.0,1,0.9,0.1,,,353.0,6.0,271.0,0.84,2.0,1.0,45.0,45.0
17,celia,08282017_Baby,Baby,2017-08-28,2.0,1,0.9,0.1,,,507.0,9.0,378.0,0.81,2.0,1.0,40.0,40.0
18,celia,08292017_Baby,Baby,2017-08-29,2.0,1,0.9,0.1,,,471.0,8.0,394.0,0.87,2.0,1.0,40.0,40.0
19,celia,08302017_Baby,Baby,2017-08-30,2.0,1,0.9,0.1,,,309.0,5.0,216.0,0.75,2.0,1.0,40.0,40.0
21,celia,09012017_Baby,Baby,2017-09-01,2.0,1,0.9,0.1,,,399.0,5.0,307.0,0.83,2.0,1.0,40.0,40.0
22,celia,09042017_Baby,Baby,2017-09-04,2.0,1,0.1,0.9,,,201.0,5.0,171.0,0.92,2.0,1.0,40.0,40.0
23,celia,09052017_Baby,Baby,2017-09-05,2.0,1,0.9,0.1,,,722.0,5.0,585.0,0.89,2.0,1.0,40.0,40.0
24,celia,09062017_Baby,Baby,2017-09-06,2.0,1,0.9,0.1,,,667.0,8.0,541.0,0.9,2.0,1.0,45.0,45.0
25,celia,09072017_Baby,Baby,2017-09-07,2.0,1,0.9,0.1,,,554.0,11.0,443.0,0.89,2.0,1.0,40.0,40.0
26,celia,09082017_Baby,Baby,2017-09-08,2.0,1,0.9,0.1,,,606.0,12.0,465.0,0.86,2.0,1.0,40.0,40.0
27,celia,09112017_Baby,Baby,2017-09-11,2.0,1,0.9,0.1,,,668.0,13.0,527.0,0.88,2.0,1.0,40.0,40.0
28,celia,09122017_Baby,Baby,2017-09-12,2.0,1,0.1,0.9,,,726.0,11.0,591.0,0.92,2.0,1.0,40.0,40.0
29,celia,09132017_Baby,Baby,2017-09-13,2.0,1,0.1,0.9,,,743.0,10.0,618.0,0.92,2.0,1.0,40.0,40.0
30,celia,09142017_Baby,Baby,2017-09-14,2.0,1,0.9,0.1,,,721.0,6.0,608.0,0.93,2.0,1.0,40.0,40.0
60,celia,08182017_Mustard,Mustard,2017-08-18,2.0,1,0.1,0.9,,,265.0,2.0,183.0,0.72,4.0,1.0,45.0,45.0
62,celia,08222017_Mustard,Mustard,2017-08-22,2.0,1,0.1,0.9,,,304.0,8.0,205.0,0.74,3.0,1.0,45.0,45.0
